"aud_rank","pdf_rank","case","author","discipline","product","description"
11,11,"Chad-Cameroon Petroleum Development and Pipeline Project (C) (Abridged)","Benjamin C. Esty; Aldo Sesia","Finance","206139-PDF-ENG","Supplements the (A) case."
13,12,"Enron Gas Services","Peter Tufano; Sanjay Bhatnagar","Finance","294076-PDF-ENG","The CEO of Enron Gas Services (EGS), a subsidiary of the largest U.S. integrated natural gas firm, considers the risks and opportunities of selling a variety of natural gas derivatives, both embedded in gas delivery contracts and as free-standing financial contracts. In its three years of existence, EGS had been successful by offering buyers and sellers of natural gas a variety of innovative pricing contracts. In order to mitigate the risks of having mismatch between its commitments to buy and sell gas, EGS established a system to decompose all of its commitments into a handful of different risks of exposures. Its centralized risk-management group not only measures the firm's exposures but also enters into financial contracts to offset the exposure brought about by the firm's business activities."
14,13,"Emaar: The Center of Tomorrow, Today","Sid Yog; Esel Cekin; Marc Homsy","Finance","216051-PDF-ENG","Starting in 1997, Mohammad Alabbar, Chairman of Emaar, has been largely associated with Dubai's most renowned real estate projects: the world's tallest building, largest mall and biggest fountain show. Emaar's pioneering success attracted a large number of private sector entrepreneurs as well as the Government of Dubai to follow in its footsteps. Consequently, land at prime locations in Dubai was not as readily available as it used to be. Emaar tried to venture outside of Dubai, but later faced challenges in choosing the right partners and maintaining control over management. Being 'stuck' between an overcrowded competitive landscape in Dubai and challenging conditions abroad, Alabbar wondered how he could maintain his company's growth while staying prepared for any upcoming financial downturn."
15,14,"Enron Odyssey (A): The Special Purpose of ""SPEs""","George Chacko; Bala Dharan; Eli Peter Strick","Finance","204009-PDF-ENG","The board has asked Ron Tolbert, an employee in the Risk Assessment and Control Group, to analyze three SPE transactions executed by Enron executives: the Destec, Rhythms, and Fishtail/Bacchus transactions, which were prominently featured in the Examiner's Report in the ensuing Enron bankruptcy. Tolbert's job is to assess why Enron used SPEs for these transactions, whether risk was successfully transferred off the balance sheet, and whether risk transfer was the only motivation."
16,15,"SUN Brewing (B)","Belen Villalonga; Raphael Amit","Finance","207039-PDF-ENG","In July 2004, Shiv, Nand, and Uday Khemka are discussing their holdings in SUN Interbrew, a leading Russian beer producer that is part of the family's global portfolio of businesses. SUN Interbrew has been operating as a joint venture since 1998, when the Khemka family, who founded its predecessor company SUN Brewing in the early 1990s, decided to partner with Belgian beer giant Interbrew to survive the Russian financial and economic crises. Since then, the family has used Interbrew's capital and beer industry know-how to successfully grow the business. Now several developments prompt the Khemka family to consider a liquidity event. The family's five-year lock-up arrangement with Interbrew has just expired. In March 2004, Interbrew has announced its plans to take a controlling stake in Brazilian giant AmBev, a deal that will create the world's largest brewer. In addition, the Alfa Group, a Russian conglomerate that has become the third largest shareholder in SUN Interbrew, has announced its intention to take part in the company's management and attain a leading position in the Russian beer market. Is there a role for the Khemka family in the future of this company? Should they maintain some stake in the company and continue to participate in its management? Should they auction off their shares to the highest bidder and exit? Or should they play a role in the global beer industry through a stock-for-stock sale to InBev, and if so, at what price?"
17,16,"Grove Street Advisors: September 2009","Matthew Rhodes-Kropf; Ann Leamon","Finance","810064-PDF-ENG","The investment committee of Grove Street Advisors, a pioneer in the provision of customized private equity funds- of-funds for pension fund clients, must decide how to respond to the market opportunities and challenges presented by the turmoil of 2008 and 2009. How can they shift their strategy to fill new market niches, or should they stay with their successful approach thus far, even though the market is getting crowded? The case also presents background about the roles of intermediaries in private equity."
18,17,"Yale University Investments Office: November 1997","Josh Lerner","Finance","298077-PDF-ENG","David Swensen, chief investment officer at Yale University, reviews the $6 billion endowment strategy, which places an unusually heavy emphasis on private equity and other illiquid securities. Changing market conditions in November 1997 cause him to rethink historically successful approaches. A rewritten version of an earlier case."
19,18,"E-Duction, Inc.","Peter Tufano; Daniel Schneider","Finance","206006-PDF-ENG","E-Ductions, a small privately held start-up, developed a new voluntary employee benefit: a payroll-deduction-linked credit card. The CLEAR card provided workers, especially low-income and credit-challenged employees, access to a card with tight credit limits, zero APR, and automatic repayment. The firm's initial experience suggested that the CLEAR card might be attractive to employees, employers, and the card issuer, but E-Duction needed to increase employer acceptance of its new product."
20,19,"Colt Industries","Jeremy C. Stein","Finance","289012-PDF-ENG","Colt Industries is a conglomerate that is considering undertaking a leveraged recapitalization. The deal would involve a large one-time dividend to stockholders, which would be financed by over $1 billion in new debt. Unlike in an leveraged buyout, however, public shareholders would still retain an equity interest in the company. Shareholders in the company's employee savings plan would not receive the dividend, but instead would see their percentage ownership in the company substantially increased."
21,20,"Richardson-Vicks--1985 (B)","Kevin F. Rock","Finance","288049-PDF-ENG","Considers takeover defenses erected by Richardson-Vicks. The objective is to determine whether these defenses can by breached by a determined suitor, like Unilever."
137,21,"Butler Lumber Co.","Thomas R. Piper","Finance","292013-PDF-ENG","The Butler Lumber Co. is faced with a need for increased bank financing due to its rapid sales growth and low profitability. Students must determine the reasons for the rising bank borrowing, estimate the amount of borrowing needed, and assess the attractiveness of the loan to the bank. A rewritten version of an earlier case. Allows students to practice ratio analysis, financial forecasting, and evaluating financing alternatives."
23,22,"ISS A/S: The Buyout","Clayton Rose; Lucy White; Carsten Bienz","Finance","214027-PDF-ENG","Provides the opportunity to value a leveraged buy-out; and to examine the nature and extent of a company's responsibilities to its bondholders. Here, the context is a ""going private"" transaction in Europe, where the financing plan called for the addition to the company's balance sheet of a significant amount of new debt and a reshaping of the capital structure. While leveraged buyouts had been used in Europe for several years, this was likely the first LBO done with a company that had publicly traded investment grade debt outstanding. The increased debt from the deal would increase the risk to the company and to the existing bonds, and the bonds' prices would fall significantly as a result. Students can use discounted cash flow techniques to value the LBO. They can then consider the wisdom of undertaking the LBO at the offered price, and work out a sensible debt schedule for the company. Students must also evaluate the effect of the transaction on the existing bonds, and understand the principles governing contractual duties (and how they differ from fiduciary obligations) towards bondholders (accounting for a business and social culture outside the United States) in order to determine the best course of action for the private equity buyers."
24,23,"Wiegandt GmbH Cologne","Dwight B. Crane; Mathew Mateo Millett","Finance","298159-PDF-ENG","The credit department of Wiegandt, a furniture manufacturer, is evaluating the financial condition of two stores that retail the company's furniture."
25,24,"Valuing Yahoo! in 2013","Luis M. Viceira; Atul Khosla","Finance","214048-PDF-ENG","In late July 2013, Danielle Engle, Managing Director of Clairemont Capital, was contemplating what to do about a large investment her fund had in the stock of Yahoo! Inc. In mid-2012, Clairemont had invested nearly $75M in Yahoo! after the tech company settled a highly visible proxy fight with prolific activist investor Daniel Loeb of hedge fund Third Point. Since that time, Loeb and his colleagues had joined the board, the company had hired a new CEO and the stock price was up nearly 80%-increasing the value of Clairemont's investment by $60M in less than a year. But Yahoo! had just announced an agreement to buy back two-thirds of Third Point's stake in the company. It had also announced that Loeb and two other company directors appointed at his request would step down from the board. At the same time, Alibaba, the giant Chinese e-commerce company of which Yahoo! owned a sizable stake, was widely expected to go public in the near future. What should Clairemont Capital do with its investment in Yahoo! in response to this news? This case provides students with opportunities to discuss shareholder activism, the interaction between a company growth strategy and business model and its valuation, discounted cash-flow valuation analysis, multiples valuation, transaction-based valuation, and company valuation by parts."
27,25,"A New Financial Policy at Swedish Match","Bo Becker; Michael Norris","Finance","212017-PDF-ENG","Swedish Match is a profitable smokeless tobacco company with low debt compared to other firms in its industry. The firms CFO now wants to revise the firms conservative financial policy."
28,26,"Leland O'Brien Rubinstein Associates, Inc.: SuperTrust","Peter Tufano; Barbara B. Kyrillos","Finance","294050-PDF-ENG","Leland O'Brien Rubinstein Associates, Inc. (LOR), which profited by selling portfolio insurance to institutional investors, attempts to rebuild itself after the 1987 stock market crash by creating new products to meet the unsatisfied needs of equity investors. LOR proposes to sell a new family of products, called the SuperTrust, which would let investors trade an exchange-listed basket security and to buy collateralized put options on broad equity indices. The case examines the needs that gave rise to the SuperTrust project as well as the institutional roadblocks LOR had to overcome to bring this offering to market."
29,27,"Fu Ji Food and Catering","Li Jin; Li Liao; Jielun Zhu; Wenkai Sun","Finance","208004-PDF-ENG","Fu Ji, the largest corporate caterer in China, is thinking about how its financing strategy accommodates the overall corporate strategy. Fu Ji has enjoyed phenomenal growth as the corporate catering market in China develops. But that growth in the business also entails a transition from a single restaurant to a restaurant chain, then to a catering business. Is Fu Ji well equipped for the new business model? What does it need to do on the financing side to accommodate the transition of its business model? The company is listed on the Hong Kong Stock Exchange and is thinking about issuing additional convertible bonds to finance its growth. What is the funding need? What are the alternative sources of funding that it has? How would the choice of financial instrument affect, and be affected by, the business strategy and how is the instrument choice influenced by the general development of the financial markets in China?"
30,28,"Nippon-WTI Ltd.","W. Carl Kester","Finance","287006-PDF-ENG","A Japanese joint venture between a U.S. parent and a Japanese parent has proposed that 100% of the U.S. parent's product be produced in Japan rather than the 40% currently being manufactured there. This would require the U.S. parent to give up a dollar profit earned on the manufacture of the product in exchange for a yen royalty. The proposal forces the U.S. parent to evaluate its operating exposure to the yen in light of its broader Asian strategy."
31,29,"Man Group plc","Andre F. Perold; Herve Duteil","Finance","205007-PDF-ENG","In 2004, Man Group was the world's largest packager and distributor of investment vehicles tied to hedge funds. The firm had an equity market capitalization of $10 billion and funds under management of $38 billion. Man's offerings spanned a wide range of risk/reward profiles packaged in the form of diversified funds of hedge funds, funds that focused on specific hedge fund styles, and funds that invested in a single hedge fund manager. The company also created structured products that consisted of funds of hedge funds combined with principal protection and leverage. An essential part of the strategy was to grow and maintain a global distribution network. Believers considered Man Group to be at the vanguard of a revolution in the investment management industry, while skeptics thought the hedge fund space had become overcrowded and that it would be hard for Man to scale its business and obtain good investment returns for clients."
32,30,"Shawmut National Corp.'s Merger with Bank of Boston Corp. (A)","Benjamin C. Esty","Finance","294119-PDF-ENG","Presents the merger negotiations between Bank of Boston (BOB) and Shawmut National Corp. (SNC), two of the country's largest bank holding companies and requires students to value BOB's current offer for SNC. Provides an overview of recent events and trends in the commercial banking industry including the rise of interstate mergers and bank failures."
33,31,"International Place (A): Boston Real Estate Playoff","William Goetzmann; Irina Tarsis","Finance","206088-PDF-ENG","First International Place, one of Boston's premier office buildings, was the subject of a control contest in 2005, as the New York real estate firm Tishman Speyer purchased the mortgage on the property through a sealed bid auction process and then sought to foreclose on the property. Elements in the case include the auction, valuation of the property in light of market conditions and issues of foreclosure, and strategies for recapitalization."
34,32,"Central Express Corp.","M. Edgar Barrett; Steven E. Levy","Finance","174001-PDF-ENG","Deals with the choice between debt and equity as a vehicle for financing expansion. Introduces the concept of EBIT charts and raises a number of other issues (e.g. dilution, leverage, etc.)."
35,33,"The Congressional Oversight Panel's Valuation of the TARP Warrants (A)","Carliss Y. Baldwin","Finance","210035-PDF-ENG","The Congressional Oversight Panel wants to value the warrants issued to the government in connection with the TARP investments of 2008, in order to increase the transparency of options repurchases. The case describes the methodology used to value the warrants. Students have the opportunity to value warrants issued by 10 of the largest banks and to evaluate whether the Black-Scholes model can be used to value these very long-lived 10 options. Can be used to teach basic option valuation using Black-Scholes, but also raise dynamic hedging issues of interest to advanced students."
36,34,"B.F. Goodrich-Rabobank Interest Rate Swap","Jay O. Light","Finance","284080-PDF-ENG","A U.S. manufacturing organization and a Eurobank swap fixed and floating rate obligations to reduce their financing costs."
37,35,"Google and Earnings Guidance","Francois Brochet; David Kiron","Finance","111026-PDF-ENG","The case explores Google's communication strategy with Wall Street analysts. In particular, the case focuses on Google's commitment to a no-guidance policy and provides an overview of guidance practice among major U.S. companies."
38,36,"Meinhard vs. Salmon: Court of Appeals of New York--1928","Henry B. Reiling","Finance","298079-PDF-ENG","Meinhard and Salmon were joint venturers who had a 20-year lease on the Hotel Bristol in New York City. Salmon was the managing party. Four months before the lease was to end, the owner approached Salmon and offered to lease all the property, of which the Bristol was only a 25% part, him. The project was to require substantial capital expenditures, a rent increase of about six times over the prior rent, and a lease term that could reach 80 years under renewal options. Salmon kept this opportunity for himself. Meinhard wanted to participate; Salmon refused."
39,37,"J.C. Penney (A)","Scott P. Mason; William B. Allen","Finance","286048-PDF-ENG","An assistant treasurer at J.C. Penney is looking at various alternatives for financing the company's $2.5 billion store expansion and modernization program. The case provides a listing of different ways/capital markets issues to obtain this financing. Designed to be used as an introduction to capital markets."
40,38,"Nantero","William A. Sahlman; Dan Heath; Caroline Perkins","Finance","809031-PDF-ENG","This case describes a decision confronting the founder of Nantero, a company developing a new semiconductor technology. The company needs to raise additional venture capital. Potential investors have competing visions for the company, and its business model. Some investors want the company to license its technology to semiconductor companies. Others want the company to become a ""lableless"" semiconductor company producing and selling its own products. The question for the team at Nantero is, what model makes sense and which investor offers the most attractive terms?"
41,39,"Cambridge Technology Partners: 1991 Start Up","Paul A. Gompers; Catherine Conneely","Finance","298044-PDF-ENG","Jim Sims tries to close the deal to create Cambridge Technology Partners (CTP) in a spin-out from a troubled technology consulting firm. The deal looks tenuous."
43,40,"The Valuation and Financing of Lady M Confections","Mihir A. Desai; Elizabeth A. Meyer","Finance","215047-PDF-ENG","This case explores the decision-making process that small, private businesses must undertake when considering an expansion and when selling equity to outside investors. In the process, students are asked to complete two exercises: a break-even analysis and a valuation exercise."
44,41,"Southland Corp. (C)","Richard S. Ruback","Finance","292004-PDF-ENG","Examines pre-packaged bankruptcy of Southland."
45,42,"Lighting the Way at the Manor House Hotel","Samuel G. Hanson; Joel L. Heilprin; Charles Andersen","Finance","214006-PDF-ENG",""
147,43,"Marriott Corp.: The Cost of Capital (Abridged)","Richard S. Ruback","Finance","289047-PDF-ENG","Gives students the opportunity to explore how a company uses the Capital Asset Pricing Model (CAPM) to compute the cost of capital for each of its divisions. The use of Weighted Average Cost of Capital (WACC) formula and the mechanics of applying it are stressed."
47,44,"CDC Capital Partners: December 200","G. Felda Hardymon; Josh Lerner; Ann Leamon","Finance","803167-PDF-ENG","Paul Fletcher, CEO of CDC Capital Partners, a private equity group investing in the world's poorest countries, is wrestling with questions raised by the imminent reorganization of the firm. Previously an arm of the United Kingdom's international aid agency, CDC is becoming a public-private partnership, which requires that it refocus its efforts and rearrange its widespread portfolio into a form that outside investors will recognize. The proposed organization, separating government money from fund management, appears to solve a number of the problems from a strategic perspective, yet a host remain. Given the generally poor risk/return ratio of emerging market investing over the past decade, Fletcher and his executives must decide how they can position their organization to compete with other investment vehicles and still remain true to the mission of mobilizing capital to invest in poor countries."
48,45,"RTY Telecom: Network Expansion","George Chacko; Vincent Dessain; Anders Sjoman; Chris Smith","Finance","205102-PDF-ENG","Requires real option analysis to analyze a capital expenditure decision by a large regional telecommunications firm. The firm needs to add network capacity for its broadband offering and is trying to decide on how to do this. One approach is simply to purchase this capacity in the spot market, whereas another approach is to buy an expensive piece of equipment from Nortel Networks. The protagonist tries to do an NPV analysis of this equipment. The specific way the equipment functions gives the firm a portfolio of real options on broadband capacity. Therefore, to do the NPV analysis correctly, the protagonist must identify the real options and determine how to value them."
49,46,"Arrow Electronics","Robert R. Glauber; Nabil N. El-Hage","Finance","285114-HCB-ENG","This case is available in only hard copy format (HBP does not have digital distribution rights to the content). As a result, a digital Educator Copy of the case is not available through this web site. Arrow Electronics is the fastest growing distributor of electronic components in North America and the second largest. Its capital structure policy of heavy reliance on debt financing contrasts sharply with that of its leading competitor, Arnet. Students are asked to think through the whys, and how Arrow might go about reducing its business and financing risks."
50,47,"Pacific Salmon Co., Inc.","Nabil N. El-Hage; Kenneth A. Froot; Christopher E.J. Payton","Finance","205031-PDF-ENG","RRR, a $1 billion private equity fund, is trying to decide how much to bid for Pacific Salmon Inc. and how to finance the acquisition."
51,48,"Citicorp--1985","Scott P. Mason; William B. Allen","Finance","286053-PDF-ENG","Citicorp seeks to raise medium- or long-term funding and is considering floating rate versus fixed rate and domestic versus Eurodollar bonds. Case focuses on advantages/disadvantages of these different markets and discusses many of the innovative Floating Rate Notes issued in Eurodollar market. The appendix describes regulatory capital requirements for bank holding companies."
52,49,"BP Amoco (A): Policy Statement on the Use of Project Finance","Benjamin C. Esty; Michael Kane","Finance","201054-PDF-ENG","Following the BP/Amoco merger in December 1998, CFO David Watson asked Bill Young to recommend when and under what circumstances the firm should use external project finance instead of internal corporate funds to finance new capital investments. As part of this assignment, Young and his team must review each firm's current policy regarding project finance and evaluate the various rationales used to justify its use. Following this review, his team created a new policy statement recommending that BP Amoco finance capital expenditures using corporate funds except in three special circumstances: mega projects, projects in politically volatile areas, and joint ventures with heterogeneous partners. Whether the general rule of using corporate funds and whether the specific exceptions to the rule are appropriate for the merged entity are subjects for class discussion."
53,50,"Primus, 2007","Daniel B. Bergstresser","Finance","208099-PDF-ENG","Primus is a credit derivative product company. How will they weather the credit crisis of 2007?"
54,51,"H Partners and Six Flags","Robin Greenwood; Michael Gorzynski","Finance","211090-PDF-ENG","Rehan Jaffer, the founder of hedge fund H Partners, is considering what to do with his investment in Six Flags. H Partners had invested a significant amount of the firm's capital in the senior bonds of U.S.-based Six Flags, following that company's bankruptcy filing."
55,52,"Cox Communications, Inc.--1999","George Chacko; Peter Tufano","Finance","201003-PDF-ENG","This case focuses on how much external financing a firm needs and what securities the firm should issue to raise this financing. Cox Communications is a major player in the cable industry, which is consolidating due to technological changes/capabilities brought about by the Internet. The corporate treasury of Cox Communications must decide how much external financing is necessary to finance a series of intra-industry acquisitions that Cox has recently undertaken. The choices are plain-vanilla equity, debt, asset sales, and a new equity-linked derivative known as FELINE PRIDES, offered by Merrill Lynch. The treasurer and his team must make this decision facing the usual market constraints. There are also some special constraints, including maintaining financial flexibility for further acquisitions and limiting the dilution of Cox's largest shareholder, who owns nearly 70% of the firm."
56,53,"Evolving Finance Function: Judy C. Lewent at Merck & Co., Inc.","Timothy A. Luehrman","Finance","294014-PDF-ENG","This case examines the career path of Merck's CFO, Judy C. Lewent, as a way of tracing changes over time in Merck's finance function. It describes the adoption of innovative quantitative analytical models, changes in job definitions and in the organization of the financial area, and the evolution of professional relationships between finance and other professionals at Merck. These issues are all examined in the context of changes in the drug business."
57,54,"Blackstone and the Sale of Citigroup's Loan Portfolio","Victoria Ivashina; David S. Scharfstein","Finance","214037-PDF-ENG","The credit boom that preceded the 2007-2009 financial crisis led to several lending practices that exposed banks to large risks. In particular, when the financial crisis unraveled, there were several billion dollars' worth of leveraged buyout (LBO) loans that were meant to be syndicated but-due to full underwriting-had to be funded by the originating banks. The case protagonist is Bennett J. Goodman, a Senior Managing Director at Blackstone. Goodman evaluates the opportunity to buy a fraction of the leveraged loan portfolio being offered for sale by Citigroup. This case can be used as a vehicle for discussing details of leveraged financing. In particular, it illustrates the close connection between syndicated-lending-backed leveraged transactions and loan securitization, and provides a context for discussion of factors that led to the leveraged credit boom that ended in 2007. The case also provides in-depth details of the structure of the transaction and its underlying assets, and serves as a means for understanding and valuing alternative investment strategies pursued by private equity firms during the credit-market crisis. As a byproduct, students learn how to use credit default swaps (CDS), a market-based indicator, for valuation."
58,55,"Austin, Blakeley & Cambridge, LLC","Nabil N. El-Hage; Christopher Laconi","Finance","207098-PDF-ENG","The founding partners of ABC, LLC, one of the leading private equity firms in the world, are trying to understand why some of the other top firms in the business, such as KKR and Apollo, have been tapping the public equity markets for their own funds, and whether they should do the same. They are also pondering how to monetize their own stake in the firm, and whether taking the firm itself public may be a viable option."
59,56,"Ultra: The Quest for Leadership (A)","Dwight B. Crane; Ricardo Reisen de Pinho","Finance","204146-PDF-ENG","Ultra is one of a small group of competing Brazilian petrochemical companies, each of which buys raw material and is a minority owner of Copene, a ""cracking"" company that provides ethylene and other materials. Because of an industry restructuring, an auction of shares is being held that would provide a controlling position in Copene if Ultra was successful with its bid. Students must decide what Ultra should bid for this controlling position. The case provides cash flows and cost of capital information for estimating the present value of the company. Estimating the amount to bid is complicated by several factors. First, one of the competing owners is a likely bidder in the auction. Thus, if Copene did not win, it would end up with an illiquid minority position in a key supplier that was owned by a competitor. In addition, the valuation must take into account the uncertain Brazilian economic environment. Finally, the CEO and other senior decision makers have an ownership stake in Ultra, so they have a significant incentive not to overpay and destroy shareholder value."
60,57,"Angus Cartwright IV","Kenneth J. Hatten; William J. Poorvu; Howard H. Stevenson; Arthur I Segel; John H. Vogel Jr.","Finance","813185-PDF-ENG","Judy and John DeRight, looking to diversify their investment portfolios, have retained Angus Cartwright, Jr. to identify prospective real estate acquisitions. Mr. Cartwright has four potential properties that he feels merit an in-depth financial analysis. The case provides an opportunity to examine the various components of real estate return--cash flow, tax benefits, and futures--and measure the profitability of a proposed investment through the calculation of net present value, internal rate of return, and capitalization rate."
61,58,"JP Morgan Partners--Cabela's Inc.","Nabil N. El-Hage; Michael J. Roberts","Finance","208026-PDF-ENG","JP Morgan Partners (JPMP), the private equity arm of JP Morgan Chase, owned 15% of Cabela's, Inc., a hunting and fishing equipment retailer in the U.S. In June of 2003, founders Dick and Jim Cabela wanted to liquidate some of their holdings. However, Cabela's was not ready for an IPO, and the brothers were not interested in selling Cabela's to a strategic acquirer. How should JPMP think about its exit options from this investment? Should it go in deeper and acquire a larger stake as a ""first"" step towards an exit? To complicate matters further, JPMP was now managing its Global Fund, whereas its existing stake in the Company was held directly for the bank's account."
62,59,"Telefonica de Argentina S.A.","Steven R. Fenster; Rajiv Gharalia","Finance","292039-PDF-ENG","Deals with the privatization of the Argentine telephone industry. Focuses on the restructuring aspect. Commercial banks owned sovereign debt of Argentina trading at a deep discount to par. The question is whether the banks should exchange their sovereign debt instruments for the common or preferred stock of Telefonica. The purpose is to evaluate a choice between poor securities valued at the point of decision by analyzing how these various securities might look in the future."
63,60,"Beta Management Co.","Michael E. Edleson","Finance","292122-PDF-ENG","A manager of a small investment company has been successfully using index funds for limited market timing. Growth has allowed her to move into picking stocks. She is considering two small and highly variable listed stocks, but is concerned about the risk that these investments might add to her ""portfolio."" Provides a lead-in to the CAPM. Students learn about total risk, non-diversifiable or portfolio risk, and (CAPM) beta, and calculate variability of the stocks separately, and portfolio variance with and without the stocks, to see how an extremely risky (but low-beta) stock actually reduces risk; and calculate stock betas."
65,61,"Kerr-McGee","Robin Greenwood; Andre F. Perold","Finance","207020-PDF-ENG","Activist investors Carl Icahn and Barry Rosenstein acquire a stake in Oklahoma-based company Kerr-McGee. They demand two board seats and ask the company to make several operational and financial changes, including the repurchase of equity and divestiture of their chemicals business. The case protagonist, Luke Corbett, CEO, opposes these changes."
66,62,"Philip Morris Companies and Kraft, Inc.","Richard S. Ruback","Finance","289045-PDF-ENG","Gives students the opportunity to explore the effect of substantial free cash flow on corporate acquisition and operating strategies. Students are also given the opportunity to extract information from the common stock prices of the participating firms. A variety of valuation techniques are employed to assess the plausibility of a restructuring plan."
67,63,"ALZA and Bio-Electro Systems (A): Technological and Financial Innovation","Josh Lerner; Peter Tufano","Finance","293124-PDF-ENG","To develop the next generation of risky products, ALZA, a mature and profitable biotechnology firm specializing in drug delivery systems, must raise $40 million. Organizational constraints and competitive concerns demand that the work be done inside the firm. However, accounting considerations and concerns about shareholders' reactions to the introduction of new risks to the firm lead the CEO to consider off-balance-sheet means to finance the new venture. To finance the new venture, the firm creates a new financing vehicle: a unit consisting of callable common stock plus warrants. This case examines the CEO's decision leading up to the issue of the units and the establishment of a new research and development subsidiary."
68,64,"Futures on the Mexican Peso","Kenneth A. Froot; Matthew McBrady; Mark Seasholes","Finance","296004-PDF-ENG","The Chicago Mercantile Exchange needs to decide how to design, and whether and when to introduce, a futures contract on the Mexican peso."
69,65,"Blue River Capital","Krishna G. Palepu; Tarun Khanna; Richard J. Bullock","Finance","708448-PDF-ENG","Examines the strategy and experience of Indian private equity firm Blue River Capital. Blue River was established in 2005 to invest primarily in middle market, particularly family-run, businesses in India. Blue River caters to this niche as an active investor, providing capital and working with portfolio companies to improve their corporate governance. Describes the challenges faced by Blue River in identifying investments, performing due diligence, and working with portfolio companies and asks how Blue River should build itself into a top-tier private equity fund, particularly as more and more foreign firms target the growing Indian market."
70,66,"National Insurance Corp.","Sanjiv Das; Nils C. Haugestad","Finance","296036-PDF-ENG","The case visits the catastrophe insurance business at an interesting time in the history of the insurance markets. A major reinsurer, National Insurance, is taking a look at the new insurance derivatives being traded on the Chicago Board of Trade with a view to using them for risk management and as a portfolio option."
